28.3,3047.25,2800
28.4,3037.56,2800
28.5,3027.92,2800
28.6,3018.35,2800
28.7,3008.83,2800
28.8,2999.37,2800
28.9,2989.97,2800
29,2980.62,2800
29.1,2971.33,2800
29.2,2962.09,2800
29.3,2952.91,2800
29.4,2943.78,2800
29.5,2934.7,2800
29.6,2925.68,2800
29.7,2916.71,2800
29.8,2907.8,2800
29.9,2898.93,2800
30,2890.12,2800
30.1,2881.36,2800
30.2,2872.65,2800
30.3,2863.99,2800
30.4,2855.38,2800
30.5,2846.81,2800
30.6,2838.3,2800
30.7,2829.84,2800
30.8,2821.42,2800
30.9,2813.05,2800
31,2804.73,2800
31.1,2796.46,2800
31.2,2788.23,2800
31.3,2780.05,2800
31.4,2771.92,2800
31.5,2763.83,2800
31.6,2755.79,2800
31.7,2747.79,2800
31.8,2739.83,2800
31.9,2731.92,2800
32,2724.06,2800
32.1,2716.23,2800
32.2,2708.45,2800
32.3,2700.71,2800
32.4,2693.02,2800
32.5,2685.37,2800
32.6,2677.76,2800
32.7,2670.19,2800
32.8,2662.66,2800
32.9,2655.17,2800
33,2647.72,2800
33.1,2640.31,2800
33.2,2632.95,2800
33.3,2625.62,2800
33.4,2618.33,2800
33.5,2611.08,2800
33.6,2603.87,2800
33.7,2596.69,2800
33.8,2589.56,2800
33.9,2582.46,2800
34,2575.4,2800
34.1,2568.38,2800
34.2,2561.39,2800
34.3,2554.44,2800
34.4,2547.53,2800
34.5,2540.65,2800
34.6,2533.81,2800
34.7,2527.01,2800
34.8,2520.24,2800
34.9,2513.5,2800
35,2506.8,2800
35.1,2500.13,2800
35.2,2493.5,2800
35.3,2486.9,2800
35.4,2480.34,2800
35.5,2473.81,2800
35.6,2467.31,2800
35.7,2460.84,2800
35.8,2454.41,2800
35.9,2448.01,2800
36,2441.64,2800
36.1,2435.31,2800
36.2,2429,2800
36.3,2422.73,2800
36.4,2416.49,2800
36.5,2410.28,2800
36.6,2404.1,2800
36.7,2397.95,2800
36.8,2391.84,2800
36.9,2385.75,2800
37,2379.69,2800
37.1,2373.66,2800
37.2,2367.66,2800
37.3,2361.69,2800
37.4,2355.75,2800
37.5,2349.84,2800
37.6,2343.96,2800
37.7,2338.11,2800
37.8,2332.28,2800
37.9,2326.48,2800
38,2320.71,2800
38.1,2314.97,2800
38.2,2309.26,2800
38.3,2303.57,2800
38.4,2297.91,2800
38.5,2292.28,2800
38.6,2286.67,2800
38.7,2281.09,2800
38.8,2275.54,2800
38.9,2270.01,2800
39,2264.51,2800
39.1,2259.04,2800
39.2,2253.59,2800
39.3,2248.16,2800
39.4,2242.77,2800
39.5,2237.39,2800
39.6,2232.05,2800
39.7,2226.72,2800
39.8,2221.42,2800
39.9,2216.15,2800
40,2210.9,2800
40.1,2205.67,2800
40.2,2200.47,2800
40.3,2195.29,2800
40.4,2190.14,2800
40.5,2185.01,2800
40.6,2179.9,2800
40.7,2174.82,2800
40.8,2169.76,2800
40.9,2164.72,2800
41,2159.7,2800
41.1,2154.71,2800
41.2,2149.74,2800
41.3,2144.79,2800
41.4,2139.87,2800
41.5,2134.96,2800
41.6,2130.08,2800
41.7,2125.22,2800
41.8,2120.38,2800
41.9,2115.57,2800
42,2110.77,2800
42.1,2106,2800
42.2,2101.24,2800
42.3,2096.51,2800
42.4,2091.8,2800
42.5,2087.11,2800
42.6,2082.44,2800
42.7,2077.78,2800
42.8,2073.15,2800
42.9,2068.54,2800
43,2063.95,2800
43.1,2059.38,2800
43.2,2054.83,2800
43.3,2050.3,2800
43.4,2045.79,2800
43.5,2041.3,2800
43.6,2036.83,2800
43.7,2032.37,2800
43.8,2027.94,2800
43.9,2023.52,2800
44,2019.13,2800
44.1,2014.75,2800
44.2,2010.39,2800
44.3,2006.05,2800
44.4,2001.72,2800
44.5,1997.42,2800
44.6,1993.13,2800
44.7,1988.86,2800
44.8,1984.61,2800
44.9,1980.38,2800
45,1976.16,2800
45.1,1971.97,2800
45.2,1967.79,2800
45.3,1963.62,2800
45.4,1959.48,2800
45.5,1955.35,2800
45.6,1951.24,2800
45.7,1947.14,2800
45.8,1943.06,2800
45.9,1939,2800
46,1934.96,2800
46.1,1930.93,2800
46.2,1926.92,2800
46.3,1922.92,2800
46.4,1918.94,2800
46.5,1914.98,2800
46.6,1911.03,2800
46.7,1907.1,2800
46.8,1903.18,2800
46.9,1899.28,2800
47,1895.4,2800
47.1,1891.53,2800
47.2,1887.68,2800
47.3,1883.84,2800
47.4,1880.02,2800
47.5,1876.21,2800
47.6,1872.42,2800
47.7,1868.64,2800
47.8,1864.88,2800
47.9,1861.13,2800
48,1857.4,2800
48.1,1853.68,2800
48.2,1849.98,2800
48.3,1846.29,2800
48.4,1842.61,2800
48.5,1838.95,2800
48.6,1835.31,2800
48.7,1831.67,2800
48.8,1828.06,2800
48.9,1824.45,2800
49,1820.86,2800
